03.06.2020;"68,50";03.06.2020;"68,50"
04.06.2020;"69,03";04.06.2020;"69,03"
05.06.2020;"68,66";05.06.2020;"68,66"
06.06.2020;"68,44";06.06.2020;"68,44"
07.06.2020;"68,14";07.06.2020;"68,14"
08.06.2020;"68,09";08.06.2020;"68,09"
09.06.2020;"68,59";09.06.2020;"68,59"
10.06.2020;"68,42";10.06.2020;"68,42"
11.06.2020;"70,07";11.06.2020;"70,07"
12.06.2020;"69,71";12.06.2020;"69,71"
13.06.2020;"69,74";13.06.2020;"69,74"
14.06.2020;"69,51";14.06.2020;"69,51"
15.06.2020;"69,57";15.06.2020;"69,57"
16.06.2020;"69,59";16.06.2020;"69,59"
17.06.2020;"69,73";17.06.2020;"69,73"
18.06.2020;"69,92";18.06.2020;"69,92"
19.06.2020;"69,39";19.06.2020;"69,39"
20.06.2020;"69,42";20.06.2020;"69,42"
21.06.2020;"69,65";21.06.2020;"69,65"
22.06.2020;"69,09";22.06.2020;"69,09"
23.06.2020;"68,72";23.06.2020;"68,72"
24.06.2020;"69,49";24.06.2020;"69,49"
25.06.2020;"69,06";25.06.2020;"69,06"
26.06.2020;"69,74";26.06.2020;"69,74"
27.06.2020;"69,78";27.06.2020;"69,78"
28.06.2020;"69,72";28.06.2020;"69,72"
29.06.2020;"69,97";29.06.2020;"69,97"
30.06.2020;"71,15";30.06.2020;"71,15"
01.07.2020;"70,86";01.07.2020;"70,86"
02.07.2020;"70,59";02.07.2020;"70,59"
03.07.2020;"71,42";03.07.2020;"71,42"
04.07.2020;"71,45";04.07.2020;"71,45"
05.07.2020;"71,33";05.07.2020;"71,33"
06.07.2020;"71,79";06.07.2020;"71,79"
07.07.2020;"71,41";07.07.2020;"71,41"
08.07.2020;"71,20";08.07.2020;"71,20"
09.07.2020;"70,74";09.07.2020;"70,74"
10.07.2020;"70,70";10.07.2020;"70,70"
11.07.2020;"70,73";11.07.2020;"70,73"
12.07.2020;"70,70";12.07.2020;"70,70"
13.07.2020;"70,77";13.07.2020;"70,77"
14.07.2020;"70,96";14.07.2020;"70,96"
15.07.2020;"71,00";15.07.2020;"71,00"
16.07.2020;"71,55";16.07.2020;"71,55"
17.07.2020;"71,84";17.07.2020;"71,84"
19.07.2020;"71,83";19.07.2020;"71,83"
20.07.2020;"71,49";20.07.2020;"71,49"
21.07.2020;"70,70";21.07.2020;"70,70"
22.07.2020;"71,13";22.07.2020;"71,13"
23.07.2020;"71,30";23.07.2020;"71,30"
24.07.2020;"71,64";24.07.2020;"71,64"
25.07.2020;"71,67";25.07.2020;"71,67"
26.07.2020;"71,71";26.07.2020;"71,71"
27.07.2020;"71,54";27.07.2020;"71,54"
28.07.2020;"72,47";28.07.2020;"72,47"
29.07.2020;"72,48";29.07.2020;"72,48"
30.07.2020;"73,32";30.07.2020;"73,32"
31.07.2020;"74,36";31.07.2020;"74,36"
01.08.2020;"74,39";01.08.2020;"74,39"
02.08.2020;"74,36";02.08.2020;"74,36"
03.08.2020;"73,04";03.08.2020;"73,04"
04.08.2020;"73,39";04.08.2020;"73,39"
05.08.2020;"72,81";05.08.2020;"72,81"
06.08.2020;"73,16";06.08.2020;"73,16"
07.08.2020;"73,68";07.08.2020;"73,68"
08.08.2020;"73,71";08.08.2020;"73,71"
09.08.2020;"73,72";09.08.2020;"73,72"
10.08.2020;"73,53";10.08.2020;"73,53"
11.08.2020;"73,06";11.08.2020;"73,06"
12.08.2020;"73,78";12.08.2020;"73,78"
13.08.2020;"72,91";13.08.2020;"72,91"
14.08.2020;"72,81";14.08.2020;"72,81"
15.08.2020;"72,84";15.08.2020;"72,84"
16.08.2020;"72,96";16.08.2020;"72,96"
17.08.2020;"73,63";17.08.2020;"73,63"
18.08.2020;"73,05";18.08.2020;"73,05"
19.08.2020;"73,26";19.08.2020;"73,26"
20.08.2020;"73,87";20.08.2020;"73,87"
21.08.2020;"74,79";21.08.2020;"74,79"
22.08.2020;"74,82";22.08.2020;"74,82"
23.08.2020;"74,73";23.08.2020;"74,73"
24.08.2020;"74,60";24.08.2020;"74,60"
25.08.2020;"75,31";25.08.2020;"75,31"
26.08.2020;"75,59";26.08.2020;"75,59"
27.08.2020;"74,98";27.08.2020;"74,98"
28.08.2020;"74,05";28.08.2020;"74,05"
29.08.2020;"74,09";29.08.2020;"74,09"
30.08.2020;"74,13";30.08.2020;"74,13"
31.08.2020;"73,81";31.08.2020;"73,81"
01.09.2020;"73,56";01.09.2020;"73,56"
02.09.2020;"75,46";02.09.2020;"75,46"
03.09.2020;"75,30";03.09.2020;"75,30"
04.09.2020;"75,32";04.09.2020;"75,32"
05.09.2020;"75,35";05.09.2020;"75,35"
06.09.2020;"75,32";06.09.2020;"75,32"
07.09.2020;"75,72";07.09.2020;"75,72"
08.09.2020;"76,24";08.09.2020;"76,24"
09.09.2020;"75,32";09.09.2020;"75,32"
10.09.2020;"75,14";10.09.2020;"75,14"
11.09.2020;"74,86";11.09.2020;"74,86"
12.09.2020;"74,90";12.09.2020;"74,90"
13.09.2020;"74,87";13.09.2020;"74,87"
14.09.2020;"75,21";14.09.2020;"75,21"
15.09.2020;"75,20";15.09.2020;"75,20"
16.09.2020;"74,86";16.09.2020;"74,86"
17.09.2020;"74,96";17.09.2020;"74,96"
18.09.2020;"75,65";18.09.2020;"75,65"
19.09.2020;"75,70";19.09.2020;"75,70"
20.09.2020;"75,55";20.09.2020;"75,55"
21.09.2020;"76,29";21.09.2020;"76,29"
22.09.2020;"76,02";22.09.2020;"76,02"
23.09.2020;"76,80";23.09.2020;"76,80"
24.09.2020;"77,03";24.09.2020;"77,03"
25.09.2020;"78,11";25.09.2020;"78,11"
26.09.2020;"78,15";26.09.2020;"78,15"
27.09.2020;"78,10";27.09.2020;"78,10"
28.09.2020;"79,16";28.09.2020;"79,16"
29.09.2020;"78,97";29.09.2020;"78,97"
30.09.2020;"77,67";30.09.2020;"77,67"
